trigger_type,filing_date,quarter,ai_weight_prior,ai_weight_current,ai_weight_change,total_portfolio_weight,ai_positions_count,new_ai_entries_this_quarter,ai_adds_this_quarter,ai_exits_this_quarter,top_5_ai_positions,subtheme,entering_tickers,entering_weights,total_subtheme_weight,subsequent_add,subsequent_add_tickers,quarters_held,ticker,company,theme,initial_weight_pct,became_active_add,filing_to_filing_return_pct,max_weight_pct,exit_date,cumulative_return_pct
NEW_AI_POSITION_2PCT,2020-05-15,2020-03-31,,,,,,,,,,,,,,,,2,AMZN,AMAZON COM INC,AI/Hyperscaler,4.70,FALSE,30.64,4.79,2020-11-16,30.64
NEW_AI_SUBTHEME,2020-05-15,2020-03-31,,,,,,,,,,AI/Datacenter Chips,NVDA,4.11,4.11,FALSE,,21,,,,,,,,,
NEW_AI_SUBTHEME,2020-05-15,2020-03-31,,,,,,,,,,AI/Hyperscaler,"GOOGL, AMZN","6.95, 4.70",11.65,FALSE,,22,,,,,,,,,
NEW_AI_SUBTHEME,2020-05-15,2020-03-31,,,,,,,,,,AI/Datacenter Memory,MU,3.91,3.91,TRUE,MU,21,,,,,,,,,
NEW_AI_SUBTHEME,2020-05-15,2020-03-31,,,,,,,,,,AI/EV,TSLA,5.14,5.14,FALSE,,25,,,,,,,,,
AI_BASKET_RAMP,2020-08-14,2020-06-30,24.81,30.05,5.24,97.98,7,"INTC, XLNX",MU,,"MU:6.01, GOOGL:5.93, AMZN:4.79, XLNX:3.67, INTC:3.59",,,,,,,,,,,,,,,,
NEW_AI_POSITION_2PCT,2020-08-14,2020-06-30,,,,,,,,,,,,,,,,1,XLNX,XILINX INC,AI/Edge Computing,3.67,FALSE,25.04,3.67,2020-11-16,0.00
NEW_AI_POSITION_2PCT,2020-08-14,2020-06-30,,,,,,,,,,,,,,,,2,INTC,INTEL CORP,Semiconductor Manufacturing,3.59,FALSE,-4.84,3.59,2021-02-16,-4.84
NEW_AI_SUBTHEME,2020-08-14,2020-06-30,,,,,,,,,,AI/Edge Computing,XLNX,3.67,3.67,FALSE,,6,,,,,,,,,
NEW_AI_SUBTHEME,2020-08-14,2020-06-30,,,,,,,,,,Semiconductor Manufacturing,INTC,3.59,3.59,FALSE,,7,,,,,,,,,
AI_BASKET_RAMP,2021-06-01,2021-03-31,3.15,8.25,5.10,69.99,4,"AMD, INTC",,,"AMD:5.36, MU:1.68, TSLA:0.68, INTC:0.52",,,,,,,,,,,,,,,,
NEW_AI_POSITION_2PCT,2021-06-01,2021-03-31,,,,,,,,,,,,,,,,2,AMD,ADVANCED MICRO DEVICES INC,AI/Datacenter Chips,5.36,FALSE,33.00,5.36,2021-11-15,33.00
NEW_AI_POSITION_2PCT,2021-08-16,2021-06-30,,,,,,,,,,,,,,,,9,AMZN,AMAZON COM INC,AI/Hyperscaler,2.92,TRUE,7.48,11.66,2023-11-14,-14.78
