trigger_type,filing_date,quarter,ai_weight_prior,ai_weight_current,ai_weight_change,total_portfolio_weight,ai_positions_count,new_ai_entries_this_quarter,ai_adds_this_quarter,ai_exits_this_quarter,top_5_ai_positions,subtheme,entering_tickers,entering_weights,total_subtheme_weight,subsequent_add,subsequent_add_tickers,quarters_held,ticker,company,theme,initial_weight_pct,became_active_add,filing_to_filing_return_pct,max_weight_pct,exit_date,cumulative_return_pct,subtheme_weight_prior,subtheme_weight_current,subtheme_weight_change,active_tickers,all_tickers_in_subtheme,fwd_1q_return,fwd_2q_return,fwd_3q_return,fwd_4q_return,smh_fwd_1q,smh_fwd_2q,smh_fwd_3q,smh_fwd_4q,excess_fwd_1q,excess_fwd_2q,excess_fwd_3q,excess_fwd_4q
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2020-05-15,2020-03-31,,,,,,,,,,AI/Datacenter Memory,,,,,,,,,,,,,,,,0.00,3.91,3.91,MU,MU,2.68,39.30,97.58,89.50,30.09,53.75,96.57,90.97,-27.41,-14.45,1.01,-1.47
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2020-05-15,2020-03-31,,,,,,,,,,AI/Hyperscaler,,,,,,,,,,,,,,,,0.00,11.65,11.65,"AMZN, GOOGL","AMZN, GOOGL",20.11,29.56,44.69,53.48,30.09,53.75,96.57,90.97,-9.98,-24.19,-51.88,-37.49
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2020-05-15,2020-03-31,,,,,,,,,,AI/Hyperscaler,,,,,,,,,,,,,,,,0.00,11.65,11.65,"AMZN, GOOGL","AMZN, GOOGL",20.11,29.56,44.69,53.48,30.09,53.75,96.57,90.97,-9.98,-24.19,-51.88,-37.49
NEW_AI_POSITION_2PCT,2020-05-15,2020-03-31,,,,,,,,,,,,,,,,2,AMZN,AMAZON COM INC,AI/Hyperscaler,4.70,FALSE,30.64,4.79,2020-11-16,30.64,,,,,,30.64,29.93,35.65,33.56,30.09,53.75,96.57,90.97,0.55,-23.82,-60.92,-57.41
NEW_AI_SUBTHEME,2020-05-15,2020-03-31,,,,,,,,,,AI/Datacenter Chips,NVDA,4.11,4.11,FALSE,,21,,,,,,,,,,,,,,,36.26,59.30,80.74,91.82,30.09,53.75,96.57,90.97,6.17,5.55,-15.83,0.85
NEW_AI_SUBTHEME,2020-05-15,2020-03-31,,,,,,,,,,AI/Hyperscaler,"GOOGL, AMZN","6.95, 4.70",11.65,FALSE,,22,,,,,,,,,,,,,,,20.11,29.56,44.69,53.48,30.09,53.75,96.57,90.97,-9.98,-24.19,-51.88,-37.49
NEW_AI_SUBTHEME,2020-05-15,2020-03-31,,,,,,,,,,AI/Datacenter Memory,MU,3.91,3.91,TRUE,MU,21,,,,,,,,,,,,,,,2.68,39.30,97.58,89.50,30.09,53.75,96.57,90.97,-27.41,-14.45,1.01,-1.47
NEW_AI_SUBTHEME,2020-05-15,2020-03-31,,,,,,,,,,AI/EV,TSLA,5.14,5.14,FALSE,,25,,,,,,,,,,,,,,,106.55,155.32,398.15,290.35,30.09,53.75,96.57,90.97,76.46,101.57,301.58,199.38
AI_BASKET_RAMP,2020-08-14,2020-06-30,24.81,30.05,5.24,97.98,7,"INTC, XLNX",MU,,"MU:6.01, GOOGL:5.93, AMZN:4.79, XLNX:3.67, INTC:3.59",,,,,,,,,,,,,,,,,,,,,,18.19,51.11,46.80,54.17,18.19,51.11,46.80,54.17,0.00,0.00,0.00,0.00
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2020-08-14,2020-06-30,,,,,,,,,,AI/Edge Computing,,,,,,,,,,,,,,,,0.00,3.67,3.67,XLNX,XLNX,25.04,35.77,21.83,35.83,18.19,51.11,46.80,54.17,6.85,-15.34,-24.97,-18.34
