ticker,company,security_type,change_type,prior_shares,current_shares,shares_delta,shares_delta_pct,prior_value,current_value,value_delta,mtm_component,trading_component,recon_gap,basket
SPCX,SPACE EXPLORATION TECHN CORP,COMMON,IPO_RECLASSIFICATION,,27332943,,,,4670106641,,0,0,,Orbital / space-based compute
MU,MICRON TECHNOLOGY INC,COMMON,DRIFT_UP,760426,711364,-49062,-6.45190985053115,256902320,821120352,564218032,620849808,-56631776,0,DRAM / HBM memory bottleneck
CBRS,CEREBRAS SYSTEMS INC,COMMON,NEW,,3110086,,,0.0,687329006,687329006.0,0,687329006,0,AI/Datacenter Chips
ALAB,ASTERA LABS INC,COMMON,ACTIVE_TRIM,3365787,1216795,-2148992,-63.84812823865562,368890255,587736321,218846066,1256852182,-1038006116,0,AI/Datacenter Networking
CIEN,CIENA CORP,COMMON,DRIFT_DOWN,676807,688521,11714,1.7307740611429847,262756782,337760862,75004080,69257660,5746420,0,AI/Datacenter Optical
,CREDO TECHNOLOGY GROUP HOLDI,COMMON,HOLD,1091233,1129285,38052,3.4870646323928987,102434042,307109056,204675014,194326773,10348241,0,AI/Datacenter Networking
PANW,PALO ALTO NETWORKS INC,COMMON,HOLD,561797,876954,315157,56.098021171348364,90067295,299058853,208991558,101516718,107474840,0,Cybersecurity
U,UNITY SOFTWARE INC,COMMON,ACTIVE_TRIM,12385322,10245819,-2139503,-17.27450444970264,271733965,292825507,21091542,82238538,-61146996,0,AI/World Models
COHR,COHERENT CORP,COMMON,DRIFT_DOWN,631159,642101,10942,1.7336360568414615,150348385,253289581,102941196,98624905,4316291,0,AI/Datacenter Optical
NVDA,NVIDIA CORPORATION,COMMON,DRIFT_DOWN,1248592,1249291,699,0.05598305931801581,217754445,249970636,32216191,32076328,139863,0,Nvidia GPU moat / CUDA ecosystem
AMZN,AMAZON COM INC,COMMON,DRIFT_DOWN,953560,969629,16069,1.6851587734384832,198597941,231101376,32503435,28673550,3829885,0,Hyperscalers (quasi-index)
META,META PLATFORMS INC,COMMON,NEW,,402770,,,0.0,226876313,226876313.0,0,226876313,0,Hyperscalers (quasi-index)
CRWV,COREWEAVE INC,COMMON,HOLD,810535,2124845,1314310,162.15339251235295,62792146,211507071,148714925,17888508,130826417,0,Neoclouds as durable model
GOOGL,ALPHABET INC,COMMON,ACTIVE_TRIM,555023,488296,-66727,-12.022384657933095,159602414,174502342,14899928,38746156,-23846228,0,Hyperscalers (quasi-index)
TWLO,TWILIO INC,COMMON,ACTIVE_TRIM,921602,720338,-201264,-21.838494274100967,115955964,148627340,32671376,74198177,-41526801,0,Enterprise SaaS
APH,AMPHENOL CORP,COMMON,NEW,,640069,,,0.0,112856966,112856966.0,0,112856966,0,AI/Datacenter Networking
AKAM,AKAMAI TECHNOLOGIES INC,COMMON,HOLD,682837,910583,227746,33.35290852721806,78423829,107640016,29216187,2294332,26921855,0,AI/Edge Computing
AFRM,AFFIRM HLDGS INC,COMMON,HOLD,1194711,1273050,78339,6.5571506414522,54741658,103817228,49075570,42687025,6388545,0,Fintech
GTLB,GITLAB INC,COMMON,NEW,,3373169,,,0.0,102982850,102982850.0,0,102982850,0,Enterprise SaaS
INTC,INTEL CORP,COMMON,HOLD,653792,663802,10010,1.5310679849248692,28851841,92686673,63834832,62437136,1397696,0,Semiconductor Manufacturing
SMTC,SEMTECH CORP,COMMON,HOLD,541812,551214,9402,1.7352882549666673,41659925,89213986,47554061,46032347,1521714,0,AI/Edge Computing
CIFR,CIPHER DIGITAL INC,COMMON,NEW,,3586409,,,0.0,87867021,87867021.0,0,87867021,0,AI/Datacenter Power
TSLA,TESLA INC,COMMON,DRIFT_DOWN,200795,204275,3480,1.7331108842351652,74645541,85918065,11272524,9808836,1463688,0,Humanoid robotics / Tesla Optimus
DKS,DICKS SPORTING GOODS INC,COMMON,ACTIVE_TRIM,452531,375118,-77413,-17.10667335497458,89732372,85080514,-4651858,12906185,-17558043,0,Consumer Discretionary
W,WAYFAIR INC,COMMON,ACTIVE_TRIM,1430997,843860,-587137,-41.02992528985036,107625284,77989541,-29635743,24627458,-54263201,0,E-commerce
AMBQ,AMBIQ MICRO INC,COMMON,HOLD,862175,877123,14948,1.7337547481659756,21907867,77449961,55542094,54222186,1319908,0,AI/Edge Computing
IOT,SAMSARA INC,COMMON,NEW,,2308649,,,0.0,74869487,74869487.0,0,74869487,0,Industrial IoT
ACVA,ACV AUCTIONS INC,COMMON,HOLD,9734467,9903239,168772,1.7337569689229004,41274140,71204288,29930148,28716677,1213471,0,E-commerce
COMP,COMPASS INC,COMMON,HOLD,5561998,5658421,96423,1.733603643870422,40658205,69768331,29110126,27921230,1188896,0,Real Estate
,WIX COM LTD,COMMON,HOLD,650414,1458458,808044,124.23533318778502,58582789,66170239,7587450,-29073506,36660956,0,Web / SMB SaaS
MA,MASTERCARD INCORPORATED,COMMON,HOLD,49604,93629,44025,88.75292315135877,24785135,48087854,23302719,691479,22611240,0,Payments
PDFS,PDF SOLUTIONS INC,COMMON,NEW,,658536,,,0.0,46617763,46617763.0,0,46617763,0,Semiconductor Supply Chain
