ticker,period_start_filing,period_end_filing,price_start,price_end,return_pct
AKAM,2020-05-15,2020-08-14,98.09,107.90,10.00
AKAM,2020-08-14,2020-11-16,107.90,101.68,-5.76
AKAM,2020-11-16,2021-02-16,101.68,98.88,-2.75
AKAM,2021-02-16,2021-06-01,98.88,113.85,15.14
AKAM,2021-06-01,2021-08-16,113.85,115.26,1.24
AKAM,2021-08-16,2021-11-15,115.26,108.48,-5.88
AKAM,2021-11-15,2022-02-14,108.48,110.65,2.00
AKAM,2022-02-14,2022-05-16,110.65,98.92,-10.60
AKAM,2022-05-16,2022-08-15,98.92,97.08,-1.86
AKAM,2022-08-15,2022-11-14,97.08,91.53,-5.72
AKAM,2022-11-14,2023-02-14,91.53,87.79,-4.09
AKAM,2023-02-14,2023-05-15,87.79,85.92,-2.13
AKAM,2023-05-15,2023-08-14,85.92,103.95,20.98
AKAM,2023-08-14,2023-11-14,103.95,112.12,7.86
AKAM,2023-11-14,2024-02-14,112.12,114.80,2.39
AKAM,2024-02-14,2024-05-15,114.80,95.98,-16.39
AKAM,2024-05-15,2024-08-14,95.98,99.73,3.91
AKAM,2024-08-14,2024-11-14,99.73,88.35,-11.41
AKAM,2024-11-14,2025-02-14,88.35,100.01,13.20
AKAM,2025-02-14,2025-05-15,100.01,76.51,-23.50
AKAM,2025-05-15,2025-08-14,76.51,74.27,-2.93
AKAM,2025-08-14,2025-11-14,74.27,87.17,17.37
AKAM,2025-11-14,2026-02-17,87.17,108.42,24.38
AKAM,2026-02-17,2026-05-18,108.42,150.77,39.06
ALAB,2020-05-15,2020-08-14,,,PRE_IPO
ALAB,2020-08-14,2020-11-16,,,PRE_IPO
ALAB,2020-11-16,2021-02-16,,,PRE_IPO
ALAB,2021-02-16,2021-06-01,,,PRE_IPO
ALAB,2021-06-01,2021-08-16,,,PRE_IPO
ALAB,2021-08-16,2021-11-15,,,PRE_IPO
ALAB,2021-11-15,2022-02-14,,,PRE_IPO
ALAB,2022-02-14,2022-05-16,,,PRE_IPO
ALAB,2022-05-16,2022-08-15,,,PRE_IPO
ALAB,2022-08-15,2022-11-14,,,PRE_IPO
ALAB,2022-11-14,2023-02-14,,,PRE_IPO
ALAB,2023-02-14,2023-05-15,,,PRE_IPO
ALAB,2023-05-15,2023-08-14,,,PRE_IPO
ALAB,2023-08-14,2023-11-14,,,PRE_IPO
ALAB,2023-11-14,2024-02-14,,,PRE_IPO
ALAB,2024-02-14,2024-05-15,,,PRE_IPO
ALAB,2024-05-15,2024-08-14,77.42,38.86,-49.81
ALAB,2024-08-14,2024-11-14,38.86,88.49,127.71
ALAB,2024-11-14,2025-02-14,88.49,87.85,-0.72
ALAB,2025-02-14,2025-05-15,87.85,92.19,4.94
ALAB,2025-05-15,2025-08-14,92.19,190.69,106.84
ALAB,2025-08-14,2025-11-14,190.69,144.34,-24.31
ALAB,2025-11-14,2026-02-17,144.34,123.69,-14.31
ALAB,2026-02-17,2026-05-18,123.69,215.58,74.29
AMBQ,2020-05-15,2020-08-14,,,PRE_IPO
AMBQ,2020-08-14,2020-11-16,,,PRE_IPO
AMBQ,2020-11-16,2021-02-16,,,PRE_IPO
AMBQ,2021-02-16,2021-06-01,,,PRE_IPO
AMBQ,2021-06-01,2021-08-16,,,PRE_IPO
AMBQ,2021-08-16,2021-11-15,,,PRE_IPO
AMBQ,2021-11-15,2022-02-14,,,PRE_IPO
AMBQ,2022-02-14,2022-05-16,,,PRE_IPO
AMBQ,2022-05-16,2022-08-15,,,PRE_IPO
AMBQ,2022-08-15,2022-11-14,,,PRE_IPO
AMBQ,2022-11-14,2023-02-14,,,PRE_IPO
AMBQ,2023-02-14,2023-05-15,,,PRE_IPO
AMBQ,2023-05-15,2023-08-14,,,PRE_IPO
AMBQ,2023-08-14,2023-11-14,,,PRE_IPO
AMBQ,2023-11-14,2024-02-14,,,PRE_IPO
AMBQ,2024-02-14,2024-05-15,,,PRE_IPO
AMBQ,2024-05-15,2024-08-14,,,PRE_IPO
AMBQ,2024-08-14,2024-11-14,,,PRE_IPO
AMBQ,2024-11-14,2025-02-14,,,PRE_IPO
AMBQ,2025-02-14,2025-05-15,,,PRE_IPO
AMBQ,2025-05-15,2025-08-14,,,PRE_IPO
AMBQ,2025-08-14,2025-11-14,37.79,24.66,-34.74
AMBQ,2025-11-14,2026-02-17,24.66,29.63,20.15
AMBQ,2026-02-17,2026-05-18,29.63,71.34,140.77
AMD,2020-05-15,2020-08-14,54.20,81.30,50.00
