ticker,period_start_filing,period_end_filing,price_start,price_end,return_pct
09077J107,2020-05-15,2020-08-14,,,NO_DATA
09077J107,2020-08-14,2020-11-16,,,NO_DATA
09077J107,2020-11-16,2021-02-16,,,NO_DATA
09077J107,2021-02-16,2021-06-01,,,NO_DATA
09077J107,2021-06-01,2021-08-16,,,NO_DATA
09077J107,2021-08-16,2021-11-15,,,NO_DATA
09077J107,2021-11-15,2022-02-14,,,NO_DATA
09077J107,2022-02-14,2022-05-16,,,NO_DATA
09077J107,2022-05-16,2022-08-15,,,NO_DATA
09077J107,2022-08-15,2022-11-14,,,NO_DATA
09077J107,2022-11-14,2023-02-14,,,NO_DATA
09077J107,2023-02-14,2023-05-15,,,NO_DATA
09077J107,2023-05-15,2023-08-14,,,NO_DATA
09077J107,2023-08-14,2023-11-14,,,NO_DATA
09077J107,2023-11-14,2024-02-14,,,NO_DATA
09077J107,2024-02-14,2024-05-15,,,NO_DATA
09077J107,2024-05-15,2024-08-14,,,NO_DATA
09077J107,2024-08-14,2024-11-14,,,NO_DATA
09077J107,2024-11-14,2025-02-14,,,NO_DATA
09077J107,2025-02-14,2025-05-15,,,NO_DATA
09077J107,2025-05-15,2025-08-14,,,NO_DATA
09077J107,2025-08-14,2025-11-14,,,NO_DATA
09077J107,2025-11-14,2026-02-17,,,NO_DATA
09077J107,2026-02-17,2026-05-18,,,NO_DATA
0JPHL,2020-05-15,2020-08-14,,,NO_DATA
0JPHL,2020-08-14,2020-11-16,,,NO_DATA
0JPHL,2020-11-16,2021-02-16,,,NO_DATA
0JPHL,2021-02-16,2021-06-01,,,NO_DATA
0JPHL,2021-06-01,2021-08-16,,,NO_DATA
0JPHL,2021-08-16,2021-11-15,,,NO_DATA
0JPHL,2021-11-15,2022-02-14,,,NO_DATA
0JPHL,2022-02-14,2022-05-16,,,NO_DATA
0JPHL,2022-05-16,2022-08-15,,,NO_DATA
0JPHL,2022-08-15,2022-11-14,,,NO_DATA
0JPHL,2022-11-14,2023-02-14,,,NO_DATA
0JPHL,2023-02-14,2023-05-15,,,NO_DATA
0JPHL,2023-05-15,2023-08-14,,,NO_DATA
0JPHL,2023-08-14,2023-11-14,,,NO_DATA
0JPHL,2023-11-14,2024-02-14,,,NO_DATA
0JPHL,2024-02-14,2024-05-15,,,NO_DATA
0JPHL,2024-05-15,2024-08-14,,,NO_DATA
0JPHL,2024-08-14,2024-11-14,,,NO_DATA
0JPHL,2024-11-14,2025-02-14,,,NO_DATA
0JPHL,2025-02-14,2025-05-15,,,NO_DATA
0JPHL,2025-05-15,2025-08-14,,,NO_DATA
0JPHL,2025-08-14,2025-11-14,,,NO_DATA
0JPHL,2025-11-14,2026-02-17,,,NO_DATA
0JPHL,2026-02-17,2026-05-18,,,NO_DATA
0QZB,2020-05-15,2020-08-14,,,NO_DATA
0QZB,2020-08-14,2020-11-16,,,NO_DATA
0QZB,2020-11-16,2021-02-16,,,NO_DATA
0QZB,2021-02-16,2021-06-01,,,NO_DATA
0QZB,2021-06-01,2021-08-16,,,NO_DATA
0QZB,2021-08-16,2021-11-15,,,NO_DATA
0QZB,2021-11-15,2022-02-14,,,NO_DATA
0QZB,2022-02-14,2022-05-16,,,NO_DATA
0QZB,2022-05-16,2022-08-15,,,NO_DATA
0QZB,2022-08-15,2022-11-14,,,NO_DATA
0QZB,2022-11-14,2023-02-14,,,NO_DATA
0QZB,2023-02-14,2023-05-15,,,NO_DATA
0QZB,2023-05-15,2023-08-14,,,NO_DATA
0QZB,2023-08-14,2023-11-14,,,NO_DATA
0QZB,2023-11-14,2024-02-14,,,NO_DATA
0QZB,2024-02-14,2024-05-15,,,NO_DATA
0QZB,2024-05-15,2024-08-14,,,NO_DATA
0QZB,2024-08-14,2024-11-14,,,NO_DATA
0QZB,2024-11-14,2025-02-14,,,NO_DATA
0QZB,2025-02-14,2025-05-15,,,NO_DATA
0QZB,2025-05-15,2025-08-14,,,NO_DATA
0QZB,2025-08-14,2025-11-14,,,NO_DATA
0QZB,2025-11-14,2026-02-17,,,NO_DATA
0QZB,2026-02-17,2026-05-18,,,NO_DATA
