ticker,company,security_type,status,q1_shares,q2_shares,share_delta,share_delta_pct,q1_value,q2_value,value_delta,price_mar31,price_jun30,price_chg_pct,mtm_component,trading_component,recon_gap,roll_detectable,note
SNDK,SANDISK CORP,COMMON,continuing,1140119,2495344,1355225,118.9,724363205,5673738513,4949375308,635.34,2273.73,257.9,1867959568,3081415739,0,,
MU,MICRON TECHNOLOGY INC,COMMON,continuing,17362,4828786,4811424,27712.4,5865578,5573819392,5567953814,337.79,1154.11,241.7,14173024,5552924581,856209,,
BE,BLOOM ENERGY CORP,COMMON,continuing,6485408,6272808,-212600,-3.3,878707930,1898778982,1020071052,135.49,302.7,123.4,1084425072,-64354020,0,,
SMH,VANECK ETF TRUST,PUT,CLOSED/EXIT,5327900,0,-5327900,-100.0,2042716860,0,-2042716860,,,,N/A(option),N/A(option),,NO (13F has no strike/expiry),notional=underlying value; share-count change = position resize
NVDA,NVIDIA CORPORATION,PUT,CLOSED/EXIT,8992300,0,-8992300,-100.0,1568257120,0,-1568257120,,,,N/A(option),N/A(option),,NO (13F has no strike/expiry),notional=underlying value; share-count change = position resize
CRWV,COREWEAVE INC,COMMON,continuing,7177919,7479558,301639,4.2,556073385,744515203,188441818,77.47,99.54,28.5,158416672,30025146,0,,
TSM,TAIWAN SEMICONDUCTOR MANUFAC,COMMON,continuing,22423,2649035,2626612,11713.9,7577853,1265099645,1257521792,337.33,477.57,41.6,3144617,1254391093,-13918,,
,NEBIUS GROUP N.V.,COMMON,NEW,0,4464260,4464260,,0,1232894684,1232894684,,,,,,,,NO EODHD PRICE (unresolved ticker)
ORCL,ORACLE CORP,PUT,CLOSED/EXIT,7293000,0,-7293000,-100.0,1072873230,0,-1072873230,,,,N/A(option),N/A(option),,NO (13F has no strike/expiry),notional=underlying value; share-count change = position resize
CORZ,CORE SCIENTIFIC INC NEW,COMMON,continuing,26008473,26008473,0,0.0,389086756,665556824,276470068,14.96,25.59,71.1,276470068,0,0,,
AVGO,BROADCOM INC,PUT,CLOSED/EXIT,3251100,0,-3251100,-100.0,1006247961,0,-1006247961,,,,N/A(option),N/A(option),,NO (13F has no strike/expiry),notional=underlying value; share-count change = position resize
AMD,ADVANCED MICRO DEVICES INC,PUT,CLOSED/EXIT,4764100,0,-4764100,-100.0,969160863,0,-969160863,,,,N/A(option),N/A(option),,NO (13F has no strike/expiry),notional=underlying value; share-count change = position resize
,IREN LIMITED,COMMON,continuing,11698835,9474099,-2224736,-19.0,401036064,433250547,32214483,,,,,,,,NO EODHD PRICE (unresolved ticker)
APLD,APPLIED DIGITAL CORP,COMMON,continuing,13478438,15384616,1906178,14.1,319978118,469022807,149044689,23.74,37.3,57.1,182767619,71100439,-104823370,,
RIOT,RIOT PLATFORMS INC,COMMON,continuing,11502137,17100000,5597863,48.7,142166413,468198000,326031587,12.36,27.38,121.5,172762098,153269489,0,,
STM,STMICROELECTRONICS,COMMON,NEW,0,7802700,7802700,,0,584344203,584344203,34.51,74.89,117.0,0,584344203,0,,
MU,MICRON TECHNOLOGY INC,PUT,CLOSED/EXIT,1727700,0,-1727700,-100.0,583686168,0,-583686168,,,,N/A(option),N/A(option),,NO (13F has no strike/expiry),notional=underlying value; share-count change = position resize
TSM,TAIWAN SEMICONDUCTOR MANUFAC,PUT,CLOSED/EXIT,1583400,0,-1583400,-100.0,535110030,0,-535110030,,,,N/A(option),N/A(option),,NO (13F has no strike/expiry),notional=underlying value; share-count change = position resize
,ASML HLDG NV N Y REGISTRY,PUT,CLOSED/EXIT,374100,0,-374100,-100.0,494122503,0,-494122503,,,,N/A(option),N/A(option),,NO (13F has no strike/expiry),notional=underlying value; share-count change = position resize
SHAZ,SHARONAI HOLDINGS INC,COMMON,continuing,796108,5396127,4600019,577.8,18095535,456836112,438740577,22.73,84.66,272.5,49302968,389437609,0,,
MU,MICRON TECHNOLOGY INC,CALL,CLOSED/EXIT,1250000,0,-1250000,-100.0,422300000,0,-422300000,,,,N/A(option),N/A(option),,NO (13F has no strike/expiry),notional=underlying value; share-count change = position resize
SNDK,SANDISK CORP,CALL,CLOSED/EXIT,611900,0,-611900,-100.0,388764546,0,-388764546,,,,N/A(option),N/A(option),,NO (13F has no strike/expiry),notional=underlying value; share-count change = position resize
TSM,TAIWAN SEMICONDUCTOR MANUFAC,CALL,continuing,1050000,50000,-1000000,-95.2,354847500,23878500,-330969000,,,,N/A(option),N/A(option),,NO (13F has no strike/expiry),notional=underlying value; share-count change = position resize
CLSK,CLEANSPARK INC,COMMON,continuing,12276139,12276139,0,0.0,104469943,178617822,74147879,8.51,14.55,71.0,74147880,0,-1,,
INTC,INTEL CORP,PUT,CLOSED/EXIT,3605400,0,-3605400,-100.0,159106302,0,-159106302,,,,N/A(option),N/A(option),,NO (13F has no strike/expiry),notional=underlying value; share-count change = position resize
SEI,SOLARIS ENERGY INFRAS INC,COMMON,continuing,1105551,1129621,24070,2.2,62474687,90889306,28414619,56.41,80.46,42.6,26587064,1936672,-109118,,
KEEL,KEEL INFRASTRUCTURE CORP,COMMON,NEW,0,26451393,26451393,,0,151830996,151830996,1.95,5.74,194.4,0,151830996,0,,
CRWV,COREWEAVE INC,CALL,CLOSED/EXIT,1814500,0,-1814500,-100.0,140569315,0,-140569315,,,,N/A(option),N/A(option),,NO (13F has no strike/expiry),notional=underlying value; share-count change = position resize
